Bus,Underground,DLR,Overground
189.1,90.5,6.3,0
181.6,84.5,5.8,0
175.9,84.3,5.8,0
183.4,86.5,6.1,0
160.4,82.9,5.8,0
175.8,80.9,5.5,0
189.8,88.7,6.3,0
179.9,90.3,6.7,5.6
178.8,90.6,6.4,5.4
140.1,72.5,4.8,3.5
183,84.4,6.3,5.2
177.2,87.8,6.5,5.2
173.9,83.5,6,5.8
183.8,91.2,6.4,6.3
186.1,87.8,6.3,6.4
181.7,88.9,6.1,6.9
186.7,92.5,6.4,7.6
161.1,85.5,6.2,7.7
173.9,85.3,6.4,7.7
193.4,93.1,7.5,8.7
185.2,95.8,7.3,8.8
189.4,97.1,7.1,9
151.2,79.3,5.2,6.9
181.4,89.8,6.9,8.7
179.5,91.5,7,8.8
191.2,92.7,7.3,9.1
171.8,88.7,7,8.5
189.2,92.6,7.4,8.9
176.5,89.7,7,8.6
189.9,96.9,7.9,8.9
167.1,103,10.6,10.5
177,94,8.7,9.8
194.2,98.2,7.7,9.7
184.7,100.4,8,9.8
187.6,101.9,7.7,10
151.9,79,5.7,8.2
178.1,91.7,7.3,10.2
180.3,96.7,7.6,10.7
186.5,96.6,7.6,10.8
171.6,92.1,7.6,10.3
188.8,97.2,7.9,10.3
183.5,95.9,7.7,10.9
190.2,100.8,8,11.3
166.3,94.1,7.5,10.6
173.7,91,7.2,10.4
194.5,101.4,7.9,11.2
186.3,103.7,8.2,9.6
193.2,106.3,8.2,10.6
155.1,83.9,6.5,8.1
186.6,96.8,7.8,10.3
185.6,94.3,8.3,10.8
206.9,107,8.3,11.3
164.1,88.8,7.6,9.7
192.8,92.2,8.3,10.5
188.1,98.2,8.3,10.5
191.1,102.6,8.3,10.8
169.2,97.3,8.2,10.6
176.5,93.2,8.2,10.8
198.8,104.1,8.7,10.8
190.2,108.6,9.2,11
195.6,111.2,9.2,11.2
156.8,87,6.9,8.7
178.2,100.2,8.6,11.4
176.3,105.7,9,11.1
207.5,116.3,10,12.6
203.4,113.6,10.2,13.3
180.5,102,8.9,11.8
189.9,105.9,9.1,14.7
182.5,101.3,9,14.9
162.3,94.6,8.9,13.8
175,97.6,8.7,13.9
190.8,111.7,9.6,15.7
181.2,112.7,8.9,15.5
186.6,114,9.4,15.8
147.1,85.4,7.1,11.3
179.5,106.8,9.3,15.4
176,109.3,9.5,14.5
159.4,94.5,8.4,12.6
189.3,114.2,10.4,15.6
181.9,105.7,9.5,14.4
173.6,104.2,9.2,13.8
177.7,109.1,9.4,14.1
155.3,101.1,9,13.7
166.3,98.8,8.8,14.2
186.9,110.4,9.6,15.2
176.6,112.6,10.1,15.4
182.7,116.7,10.1,15.7
145.8,89,7.6,12
174.4,101.9,9.6,14.8
172.9,108.3,9.7,14.6
178.4,106,9.5,15.1
172.6,104.6,9.7,14.7
182.3,106.1,9.4,14.8
175.8,101.6,9.2,14.4
181.5,109,9.6,15
155.1,101,9.2,14.4
166,96.4,8.6,14.5
186.9,108.6,9.6,15.6
178.1,110.6,9.9,15.4
183.8,115.1,9.8,15.5
145.1,87.7,7.4,11.6
175.2,105.5,9.3,14.8
168.7,105.3,9.3,14.1
176.5,105.3,8.7,15.1
165.9,103.5,9.4,14.7
179.6,105.6,9.7,14.4
173.9,104.4,9.2,14.3
177.8,109,9.6,14.8
151.5,100.4,9,14
162.1,97.5,8.6,14.1
183.7,109.9,9.6,15.8
175.2,112.7,10.1,15.6
180.5,118.2,9.9,15.6
144.9,91.9,7.5,11.6
171.3,106.7,9.3,14.5
171.3,110.8,9.7,14.4
182.7,114.1,10,15.7
156.6,101.2,8.9,13.9
175.2,106.1,9.7,14.2
171.4,108,9.3,13.8
177,111.7,9.6,14.8
149.8,103,9.1,12.9
159.8,99.4,8.7,13.5
179.3,112.2,9.5,17.8
168.9,113.3,10,17.1
176.2,117.5,9.8,15.8
141,91.2,7.5,10.6
169.4,105.8,9.2,14.1
165.2,106.2,9.3,15.6
126.4,60.9,6.1,13
30.2,5.7,1.2,1
32.5,6.7,1.4,1.5
47,13.3,2.1,2.8
66.7,22.2,2.9,4.5
75.2,28.8,3.6,5.1
94.8,36.3,4.2,6.6
102,39.5,4.5,8.5
88.9,33.7,4.1,7.1
89,32.1,4,6.6
57.5,18.8,2.7,3.2
51.6,16.8,2.7,3.5
56.9,19.8,3.1,4.4
72.9,22.4,3.3,4.8
95.6,37.4,4.9,8.6
104,42.5,5,7.7
106.6,48.6,5.6,7.8
108.8,49.6,5.4,9.5
98.5,51.6,5.5,7.8
115.2,58.2,5.9,8.8
129.8,69.7,7.1,10.6
124.9,73.7,7.1,11.5
