Month,Bus,Underground,Tramlink
04/09/22,11.3,13.3,17.4
05/09/22,11.1,14.6,18.1
06/09/22,11.1,13.1,17.4
07/09/22,11.2,12.5,16.3
08/09/22,9.7,13.2,17.4
09/09/22,9.6,13.5,15.2
10/09/22,11,13.2,12.5
11/09/22,11.6,13.4,18
12/09/22,10.9,12,21.6
01/10/22,10.6,13.6,10.4
02/10/22,12,13.1,14
03/10/22,12,12.5,10.6
04/10/22,10.7,12,16.7
05/10/22,10,11.9,16
06/10/22,10.6,10.7,14.5
07/10/22,10.9,11.5,13.6
08/10/22,10.6,11.3,14.3
09/10/22,9.7,10.8,10
10/10/22,10.5,12.4,11.5
11/10/22,10.5,12.3,19.9
12/10/22,10.3,10.3,6.2
01/11/22,10.7,11.8,13
02/11/22,11.1,12.1,10.5
03/11/22,10.2,11.7,11.7
04/11/22,9.7,10,21.8
05/11/22,10,11.8,15.3
06/11/22,9.8,11.3,13.9
07/11/22,9.6,10.8,15.6
08/11/22,8.7,10.3,16.6
09/11/22,8,8.8,10.4
10/11/22,9.1,9.4,8.8
11/11/22,9.6,9,10.5
12/11/22,9.1,9.1,14
01/12/22,9.1,9.3,7.6
02/12/22,8.9,9.9,8.5
03/12/22,9.4,9.4,13.5
04/12/22,8.9,9.1,8.3
05/12/22,8.5,9.9,17.5
06/12/22,8.8,10.1,14.7
07/12/22,9.1,10.4,13.4
08/12/22,8.7,7.9,12.3
09/12/22,7.3,8.1,8
10/12/22,8.6,9.8,12.7
11/12/22,9,11.4,11.9
12/12/22,9.5,10,12.9
01/13/22,8.3,10.5,11.8
02/13/22,8.7,9.8,9.1
03/13/22,8.2,11,8.9
04/13/22,8.2,9.2,16.1
05/13/22,7.8,8.3,13.6
06/13/22,7.8,8.6,11.3
07/13/22,7.9,8.6,12.6
08/13/22,8.6,9.1,12.8
09/13/22,7.6,7.8,8.3
10/13/22,7.9,7.5,11.8
11/13/22,7.3,7.1,6.8
12/13/22,7.1,7.7,8.4
01/14/22,6.9,8.6,8
02/14/22,7.2,8.3,9.1
03/14/22,6.8,7.7,4.2
04/14/22,6.8,7,5.6
05/14/22,6.6,6.5,5.4
06/14/22,6.9,7.3,5.3
07/14/22,6.8,7,7.2
08/14/22,6.6,6.9,3.3
09/14/22,7.4,6.8,2.9
10/14/22,7.4,7,7.2
11/14/22,7.4,6.8,8.2
12/14/22,8,7.7,6.7
01/15/22,7.9,6.9,8.8
02/15/22,7.6,6.3,9
03/15/22,7.7,7.1,10.8
04/15/22,7.2,6.9,9.3
05/15/22,7.1,7,12.2
06/15/22,7.3,6.8,9.9
07/15/22,7.6,6.8,6.6
08/15/22,7.9,7.6,6.8
09/15/22,6.9,6.6,7.3
10/15/22,7.6,6.8,8.2
11/15/22,8.3,8.2,10.4
12/15/22,8.3,8.2,8.8
01/16/22,7.5,9.2,14.5
02/16/22,7.7,7.4,7.1
03/16/22,7.2,9,13.6
04/16/22,7.1,6.4,8.8
05/16/22,7.7,7.3,10.6
06/16/22,8.1,7.1,9.7
07/16/22,7.9,7.1,5.4
08/16/22,8.3,8.7,5.9
09/16/22,7.3,6.9,4.6
10/16/22,7.6,7.3,8.2
11/16/22,7.3,9.7,7.9
12/16/22,7.8,8.5,9
01/17/22,6.6,8.4,7.4
02/17/22,7.3,8,13.2
03/17/22,7.7,8.5,10.2
04/17/22,6.6,9.5,8.7
05/17/22,7,7.9,9.3
06/17/22,7.2,9,9.7
07/17/22,8.1,9.4,10.8
08/17/22,7.1,9.1,11.5
09/17/22,6.5,9,9.1
10/17/22,7.1,10,13.3
11/17/22,7.8,10.3,6.5
12/17/22,7.1,11.9,8.3
01/18/22,6.5,10.7,9.7
02/18/22,7.2,11.1,6.3
03/18/22,6.9,11.2,7.6
04/18/22,6.1,10.1,10.7
05/18/22,6.3,9.9,10.2
06/18/22,6.1,10.2,5.9
07/18/22,6.8,10.3,10
08/18/22,6.2,10.3,6.3
09/18/22,6.2,10,5.6
10/18/22,7,10.3,8
11/18/22,7.6,10.9,8.3
12/18/22,7.3,16,13.5
01/19/22,7.2,13.4,8.3
02/19/22,8,13.5,5.5
03/19/22,8.1,15.6,6.8
04/19/22,8,15,8.7
05/19/22,7.4,12.4,8
06/19/22,8.3,15,12.8
07/19/22,7.8,12.2,9.7
08/19/22,7,13.1,6.4
09/19/22,7.1,12,9.6
10/19/22,8.9,13.8,8
11/19/22,8,15.9,14.6
12/19/22,7.6,23.5,8.9
01/20/22,7.9,17.6,7.7
02/20/22,8.3,16.8,11.9
03/20/22,9.5,21.3,9.9
